1393,섬유소재,FITI시험연구원,R-KORAS-2018-038,판넬 옹벽용 보강벨트,FoldLock 35kN,한포스,2020-02-20
1392,섬유소재,FITI시험연구원,R-KORAS-2018-037,판넬 옹벽용 보강벨트,FoldLock 25kN,한포스,2020-02-20
1391,섬유소재,FITI시험연구원,R-KORAS-2019-42,지오그리드,RG-GRID 200,(주)메카모아,2020-02-20
1390,섬유소재,FITI시험연구원,R-KORAS-2019-41,지오그리드,RG-GRID 150,(주)메카모아,2020-02-20
1389,섬유소재,FITI시험연구원,R-KORAS-2018-036,판넬 옹벽용 보강벨트,Pocket Tie 50kN,(주)대한콜크,2020-02-20
1388,섬유소재,FITI시험연구원,R-KORAS-2019-40,지오그리드,RG-GRID 100,(주)메카모아,2020-02-20
1387,섬유소재,FITI시험연구원,R-KORAS-2019-39,지오그리드,RG-GRID 80,(주)메카모아,2020-02-20
1386,섬유소재,FITI시험연구원,R-KORAS-2018-035,판넬 옹벽용 보강벨트,Pocket Tie 30kN,(주)대한콜크,2020-02-20
1385,섬유소재,FITI시험연구원,R-KORAS-2019-38,지오그리드,RG-GRID 60,(주)메카모아,2020-02-20
1384,섬유소재,FITI시험연구원,R-KORAS-2019-37,판넬 옹벽용 보강벨트,FASTEN® FS100(E),제코산업(주),2020-02-20
1383,섬유소재,FITI시험연구원,R-KORAS-2019-36,판넬 옹벽용 보강벨트,FASTEN® FS70(E),제코산업(주),2020-02-20
1382,섬유소재,FITI시험연구원,R-KORAS-2018-034,판넬 옹벽용 보강벨트,Pocket Tie 20kN,(주)대한콜크,2020-02-20
1381,섬유소재,FITI시험연구원,R-KORAS-2019-35,판넬 옹벽용 보강벨트,FASTEN® FS50(E),제코산업(주),2020-02-20
1380,섬유소재,FITI시험연구원,R-KORAS-2018-033,판넬 옹벽용 보강벨트,FASTEN® FW70kN,제코산업(주),2020-02-20
1379,섬유소재,FITI시험연구원,R-KORAS-2018-032,판넬 옹벽용 보강벨트,FASTEN® FW50kN,제코산업(주),2020-02-20
1378,섬유소재,FITI시험연구원,R-KORAS-2018-031,판넬 옹벽용 보강벨트,FASTEN® FW30kN,제코산업(주),2020-02-20
1377,섬유소재,FITI시험연구원,R-KORAS-2019-34,판넬 옹벽용 보강벨트,FASTEN® FS30(E),제코산업(주),2020-02-20
1376,섬유소재,FITI시험연구원,R-KORAS-2018-030,판넬 옹벽용 보강벨트,FASTEN® FW20kN,제코산업(주),2020-02-20
1375,섬유소재,FITI시험연구원,R-KORAS-2019-30,지오그리드,HSGW200,(주)효성그리드,2020-02-20
1374,섬유소재,FITI시험연구원,R-KORAS-2018-029,판넬 옹벽용 보강벨트,FASTEN® FS100kN,제코산업(주),2020-02-20
1373,섬유소재,FITI시험연구원,R-KORAS-2019-29,지오그리드,HSGW150,(주)효성그리드,2020-02-20
1372,섬유소재,FITI시험연구원,R-KORAS-2019-28,지오그리드,HSGW100,(주)효성그리드,2020-02-20
1371,섬유소재,FITI시험연구원,R-KORAS-2018-028,판넬 옹벽용 보강벨트,FASTEN® FS70kN,제코산업(주),2020-02-20
1370,섬유소재,FITI시험연구원,R-KORAS-2018-027,판넬 옹벽용 보강벨트,FASTEN® FS50kN,제코산업(주),2020-02-20
1369,섬유소재,FITI시험연구원,R-KORAS-2019-27,지오그리드,HSGW80,(주)효성그리드,2020-02-20
1368,섬유소재,FITI시험연구원,R-KORAS-2018-026,판넬 옹벽용 보강벨트,FASTEN® FS30kN,제코산업(주),2020-02-20
1367,섬유소재,FITI시험연구원,R-KORAS-2019-26,지오그리드,HSGW60,(주)효성그리드,2020-02-20
1366,섬유소재,FITI시험연구원,R-KORAS-2018-025,지오그리드,Ultimatex DJL80,(주)대정,2020-02-20
1365,섬유소재,FITI시험연구원,R-KORAS-2018-024,지오그리드,Ultimatex DJL 60,(주)대정,2020-02-20
1364,섬유소재,FITI시험연구원,R-KORAS-2018-023,지오그리드,Ultimatex DJL 40,(주)대정,2020-02-20
1363,섬유소재,FITI시험연구원,R-KORAS-2018-022,지오그리드,Ultimatex DJL10,(주)대정,2020-02-20
1362,전기/전자부품,전자부품연구원,1,OLED,발광다이오드,(주)세미콘라이트,2019-09-05
